slug,code_commune,nom_ville,code_postal,note_globale,environnement,transports,securite,sante,sports_et_loisirs,culture,enseignement,commerces,qualite_de_vie
saint-maximin-la-sainte-baume_83116,83116,Saint Maximin La Sainte Baume,83470,6.58,6.73,2.93,5.8,6.73,6.73,7.07,8.0,7.33,6.73
saint-raphael_83118,83118,Saint Raphael,83700,6.36,6.92,4.44,6.62,6.1,6.9,5.76,5.98,5.82,6.64
saint-tropez_83119,83119,Saint Tropez,83990,6.31,7.25,3.94,7.0,6.38,6.75,7.0,6.25,5.88,6.31
saint-zacharie_83120,83120,Saint Zacharie,83640,9.3,9.33,7.33,9.67,7.67,8.33,8.33,8.67,9.33,10.0
salernes_83121,83121,Salernes,83690,4.83,6.0,4.0,5.86,5.0,4.43,4.43,4.43,4.29,4.86
sanary-sur-mer_83123,83123,Sanary Sur Mer,83110,6.32,6.77,3.39,6.81,6.61,6.51,6.93,6.46,6.28,6.42
la-seyne-sur-mer_83126,83126,La Seyne Sur Mer,83500,5.16,5.21,5.73,3.96,6.15,5.77,4.44,5.65,4.96,5.09
six-fours-les-plages_83129,83129,Six Fours Les Plages,83140,6.04,6.57,4.85,6.3,6.57,6.3,5.36,6.36,5.53,6.11
sollies-pont_83130,83130,Sollies Pont,83210,5.47,6.11,4.44,5.11,5.0,5.0,5.11,7.0,5.33,5.56
sollies-toucas_83131,83131,Sollies Toucas,83210,5.35,6.25,2.38,5.75,6.63,4.5,4.63,6.0,4.5,5.63
toulon_83137,83137,Toulon,83000,5.58,5.5,4.67,4.05,6.96,6.57,5.42,6.18,6.06,5.49
tourves_83140,83140,Tourves,83170,7.55,7.18,3.45,7.09,7.64,7.45,6.64,7.45,6.91,8.36
trans-en-provence_83141,83141,Trans En Provence,83720,7.11,6.5,6.33,5.5,5.67,7.67,7.67,8.5,7.17,7.33
le-val_83143,83143,Le Val,83143,9.38,10.0,9.0,8.0,8.0,7.0,9.0,10.0,9.0,10.0
la-valette-du-var_83144,83144,La Valette Du Var,83160,5.9,4.94,5.61,5.83,7.17,6.0,5.11,6.33,7.61,5.72
vidauban_83148,83148,Vidauban,83550,5.73,6.68,3.55,5.0,4.27,6.5,5.09,6.05,5.05,6.18
vinon-sur-verdon_83150,83150,Vinon Sur Verdon,83560,,,,,,,,,,
saint-mandrier-sur-mer_83153,83153,Saint Mandrier Sur Mer,83430,7.42,8.71,5.71,7.65,6.76,6.88,6.06,6.35,5.24,8.18
apt_84003,84003,Apt,84400,5.63,6.2,3.8,5.13,5.07,6.4,5.67,5.2,4.6,6.0
aubignan_84004,84004,Aubignan,84810,6.56,6.0,5.0,6.0,9.0,5.0,6.0,6.0,6.0,7.0
avignon_84007,84007,Avignon,84000,4.7,3.88,4.73,2.8,5.29,5.53,7.38,5.91,5.63,4.26
bedarrides_84016,84016,Bedarrides,84370,7.78,8.0,6.0,7.5,5.0,7.75,8.25,8.0,6.0,8.5
bollene_84019,84019,Bollene,84500,4.93,5.67,3.67,5.0,4.33,5.5,4.78,5.83,5.44,4.83
cadenet_84026,84026,Cadenet,84160,6.35,7.58,4.67,5.42,6.5,6.67,5.92,7.08,6.42,6.42
camaret-sur-aigues_84029,84029,Camaret Sur Aigues,84850,5.5,5.2,3.8,7.0,5.4,6.4,5.4,6.2,7.0,5.2
carpentras_84031,84031,Carpentras,84200,5.97,5.56,6.24,4.44,6.11,7.06,6.89,7.02,5.97,5.78
caumont-sur-durance_84034,84034,Caumont Sur Durance,84510,5.41,6.5,3.5,4.5,5.5,4.0,3.5,4.5,6.5,6.0
cavaillon_84035,84035,Cavaillon,84300,4.73,4.93,4.45,3.79,5.55,5.76,5.38,5.41,4.52,4.48
cheval-blanc_84038,84038,Cheval Blanc,84460,9.38,10.0,8.0,8.0,7.0,10.0,10.0,8.0,9.0,10.0
courthezon_84039,84039,Courthezon,84350,6.45,6.5,6.67,5.67,6.67,6.17,6.67,6.5,6.33,6.5
entraigues-sur-la-sorgue_84043,84043,Entraigues Sur La Sorgue,84320,5.99,5.67,6.0,5.67,6.67,6.17,5.33,5.5,6.83,6.0
l-isle-sur-la-sorgue_84054,84054,L'Isle Sur La Sorgue,84800,6.72,6.53,5.16,5.72,6.28,6.88,6.28,7.5,6.84,7.03
jonquieres_84056,84056,Jonquieres,84150,6.85,4.5,5.0,7.5,5.0,7.0,5.0,7.0,8.5,7.5
lapalud_84064,84064,Lapalud,84840,,,,,,,,,,
lauris_84065,84065,Lauris,84360,6.44,6.75,3.75,5.75,6.5,6.75,4.5,5.5,7.5,7.0
mazan_84072,84072,Mazan,84380,8.88,9.0,9.2,7.4,7.8,8.2,7.8,8.4,7.4,9.6
mondragon_84078,84078,Mondragon,84430,6.78,6.83,2.0,7.83,8.5,8.67,6.33,6.5,5.83,7.0
monteux_84080,84080,Monteux,84170,5.82,6.67,5.33,4.83,7.0,7.67,5.33,5.83,5.17,5.67
morieres-les-avignon_84081,84081,Morieres Les Avignon,84310,7.56,6.75,6.75,6.0,7.25,8.5,7.0,7.0,7.75,8.0
orange_84087,84087,Orange,84100,5.54,5.69,3.86,6.31,5.69,4.98,5.98,6.51,5.78,5.47
pernes-les-fontaines_84088,84088,Pernes Les Fontaines,84210,6.43,6.64,4.18,6.27,6.0,7.64,8.18,6.64,6.36,6.36
pertuis_84089,84089,Pertuis,84120,5.39,5.7,4.51,4.49,5.74,6.7,5.74,6.45,5.68,5.15
piolenc_84091,84091,Piolenc,84420,6.55,6.07,3.33,5.33,7.33,6.13,3.87,5.93,5.93,7.6
le-pontet_84092,84092,Le Pontet,84130,6.61,6.18,6.73,7.18,6.73,7.27,6.18,6.82,7.0,6.45
robion_84099,84099,Robion,84440,7.94,8.67,4.33,7.33,6.67,7.33,8.33,8.0,7.0,8.67
saint-saturnin-les-avignon_84119,84119,Saint Saturnin Les Avignon,84450,6.44,8.67,6.67,5.0,7.33,7.67,7.33,7.33,7.67,5.67
